trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.1, 'e': 0.4274149319487267}",20,5,-24.911647243325426,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.1, 'e': 0.4231620823177488}",20,2,-59.52114526487208,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.1, 'e': 0.418951549247639}",25,0,0.755676782383383,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.1, 'e': 0.4147829116815814}",20,0,-151.91691268417622,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
90,False,"{'a': 0.1, 'e': 0.4106557527523455}",20,0,-32.6414719314819,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.4065696597405991}",25,3,-71.17904965923107,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
92,False,"{'a': 0.1, 'e': 0.40252422403363597}",25,0,-96.1607223668427,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
93,False,"{'a': 0.1, 'e': 0.39851904108451414}",30,0,-29.676174142681855,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.1, 'e': 0.3945537103716011}",30,4,-18.763854748856957,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.1, 'e': 0.3906278353585211}",25,11,-32.47104289079592,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.1, 'e': 0.3867410234545012}",25,0,-52.345533138237435,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.1, 'e': 0.38289288597511206}",20,0,5.562997245741811,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.37908303810339883}",20,0,-40.12186324502141,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.1, 'e': 0.37531109885139957}",25,0,-90.78313977928792,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
100,False,"{'a': 0.1, 'e': 0.3715766910220457}",25,1,-5.355537996138995,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.1, 'e': 0.36787944117144233}",20,0,-96.67977933264156,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
102,False,"{'a': 0.1, 'e': 0.3642189795715233}",20,0,7.835130972528076,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.1, 'e': 0.3605949401730783}",20,0,-27.919189672722673,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.3570069605691474}",30,14,16.655271623616414,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.35345468195878016}",20,0,-108.61423482168821,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
106,False,"{'a': 0.1, 'e': 0.3499377491111553}",25,0,18.718678587571034,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.1, 'e': 0.3464558103300574}",20,6,-43.59841950346253,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.1, 'e': 0.34300851741870664}",25,2,4.017363434619287,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.3395955256449391}",25,8,-12.637990382294836,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.3362164937067333}",25,0,-47.20277082612482,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,10,7.043887269698838,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.32955896107518906}",20,6,-4.148983724847623,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.32627979462303947}",20,0,14.356334544223577,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.1, 'e': 0.3230332564222529}",25,11,-26.492370072108823,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.1, 'e': 0.31981902181630384}",25,0,2.6089728859972316,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.1, 'e': 0.31663676937905316}",20,0,-11.460795303455074,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.1, 'e': 0.3134861808826053}",30,17,-84.90255331695536,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
118,False,"{'a': 0.1, 'e': 0.31036694126548503}",30,13,-32.63863059571544,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.30727873860113125}",30,8,-7.291455864667738,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.3042212640667041}",35,20,10.813188916501376,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.30119421191220214}",25,17,7.578133117871973,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.2981972794298874}",20,0,0.0004090483972675196,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.1, 'e': 0.2952301669240142}",30,21,-7.12495071988453,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.2922925776808594}",25,0,27.308997033637016,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.1, 'e': 0.2893842179390506}",25,8,-57.43522167058864,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.2865047968601901}",20,10,16.445668143868893,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.2836540264997704}",20,11,2.5506385158772193,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.2808316217783798}",25,7,-40.35418435129243,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
129,False,"{'a': 0.1, 'e': 0.27803730045319414}",25,12,13.799568975956381,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.27527078308975234}",25,0,15.09658839016001,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.1, 'e': 0.2725317930340126}",35,15,-2.599411451540989,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.2698200563846868}",20,10,18.605579312880437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.26713530196585034}",20,8,-5.194992163455972,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.26447726129982396}",25,12,23.527975901295683,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.261845668580326}",25,0,20.811169413949877,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.1, 'e': 0.2592402606458915}",25,11,-34.719306008128285,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.1, 'e': 0.2566607769535559}",25,14,-42.63122048845105,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.1, 'e': 0.25410695955280027}",30,5,-16.393632594198962,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.25157855305975646}",30,19,21.604457100961987,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.24907530463166816}",20,2,29.85892239427372,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.24659696394160643}",30,5,35.66496061118408,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.2441432831534371}",25,9,-15.441057902828767,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.1, 'e': 0.24171401689703645}",20,6,-40.359276882489304,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.1, 'e': 0.23930892224375455}",25,7,6.7460281735761765,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.23692775868212176}",20,0,4.9819008347912295,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.1, 'e': 0.23457028809379765}",30,15,20.12816445009487,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.23223627472975883}",25,13,9.885896950491631,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.22992548518672384}",25,14,6.748855870163217,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.22763768838381274}",30,0,30.633509936306197,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.22537265553943872}",20,0,-41.66670887065968,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
151,False,"{'a': 0.1, 'e': 0.22313016014842982}",30,2,30.774441913279993,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.2209099779593782}",30,7,2.3151499167748577,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.21871188695221475}",20,0,-9.170824222175941,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
154,False,"{'a': 0.1, 'e': 0.21653566731600707}",25,0,-42.63318276296686,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.21438110142697794}",30,0,-6.219205895880073,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
156,False,"{'a': 0.1, 'e': 0.21224797382674304}",20,0,-53.27894279838984,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
157,False,"{'a': 0.1, 'e': 0.21013607120076472}",30,0,14.422092252258274,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.20804518235702046}",25,0,-5.569887104042584,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.20597509820488344}",30,10,-40.60532525623432,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
160,False,"{'a': 0.1, 'e': 0.20392561173421342}",35,20,-8.826259180277216,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.20189651799465538}",25,15,8.673330472112927,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.1998876140751445}",35,10,24.34728699735514,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.19789869908361465}",25,11,12.449610726649347,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.19592957412690934}",20,9,-12.640352594854795,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.19398004229089189}",30,1,-21.369373016903893,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
166,False,"{'a': 0.1, 'e': 0.19204990862075408}",20,10,-31.750034227730985,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.1, 'e': 0.1901389801015205}",20,0,-17.361814369494954,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
168,False,"{'a': 0.1, 'e': 0.1882470656387468}",20,0,26.547286499966752,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.1, 'e': 0.18637397603940997}",20,8,21.432269094417997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.18451952399298926}",20,8,-17.276368973495998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.1, 'e': 0.18268352405273466}",20,6,-15.208704277117633,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
